Start_time_time,Start_time_decimal,ExceptionDuration,Decimal_Duration,Terminal,
5:42,0.2375000,1:32,0.0641816,A,
8:44,0.3638889,2:18,0.0962812,A,
13:39,0.5687500,1:01,0.0424474,A,
5:34,0.2319444,1:38,0.0686774,A,
9:08,0.3805556,1:07,0.0465637,A,
7:15,0.3020833,1:12,0.0501411,A,
10:35,0.4409722,1:00,0.0420851,A,
13:17,0.5534722,1:11,0.0495560,A,
5:28,0.2277778,1:37,0.0679184,A,
10:46,0.4486111,1:26,0.0600795,A,
5:05,0.2118056,1:21,0.0565576,A,
7:51,0.3270833,1:25,0.0594232,A,
11:48,0.4916667,3:23,0.1409791,A,
6:25,0.2673611,2:31,0.1049795,A,
7:47,0.3243056,1:59,0.0826548,A,
11:38,0.4847222,2:15,0.0938813,A,
11:23,0.4743056,1:11,0.0495289,A,
8:22,0.3486111,1:03,0.0443124,A,
5:13,0.2173611,1:13,0.0512821,A,
7:57,0.3312500,1:24,0.0588419,A,
14:30,0.6041667,1:23,0.0577476,A,
9:49,0.4090278,1:11,0.0498270,A,
13:42,0.5708333,1:00,0.0420161,A,
4:55,0.2048611,1:29,0.0618343,A,
11:38,0.4847222,1:26,0.0598795,A,
12:05,0.5034722,1:13,0.0509772,A,
5:20,0.2222222,1:07,0.0465921,A,
11:49,0.4923611,1:06,0.0460641,A,
11:36,0.4833333,1:32,0.0642775,A,
5:28,0.2277778,1:30,0.0629920,A,
8:09,0.3395833,1:07,0.0471090,A,
8:58,0.3736111,1:09,0.0480865,B,
13:14,0.5513889,1:07,0.0468111,B,
13:27,0.5604167,1:08,0.0477618,D,
13:16,0.5527778,2:33,0.1063227,D,
9:25,0.3923611,1:41,0.0701544,D,
18:49,0.7840278,1:23,0.0579231,D,
8:47,0.3659722,1:05,0.0455438,F,
19:04,0.7944444,1:05,0.0456134,D,
18:51,0.7854167,1:01,0.0427087,D,
12:14,0.5097222,3:10,0.1321837,D,
15:07,0.6298611,1:10,0.0487516,D,
11:28,0.4777778,1:16,0.0531148,D,
18:41,0.7784722,1:16,0.0529223,D,
15:48,0.6583333,1:39,0.0689244,F,
11:44,0.4888889,1:14,0.0514032,J,
8:53,0.3701389,1:25,0.0594239,F,
6:45,0.2812500,1:10,0.0490741,D,
10:31,0.4381944,1:26,0.0602717,F,
12:38,0.5263889,1:24,0.0587678,F,
9:14,0.3847222,1:35,0.0662098,J,
19:19,0.8048611,11:00,0.4588620,F,
10:51,0.4520833,1:01,0.0428934,J,
14:55,0.6215278,1:16,0.0529179,F,
10:24,0.4333333,1:24,0.0588014,J,
11:52,0.4944444,1:29,0.0623596,D,
8:03,0.3354167,1:05,0.0452622,F,
12:36,0.5250000,1:30,0.0628809,D,
9:06,0.3791667,1:24,0.0585186,F,
12:29,0.5201389,1:28,0.0615893,F,
8:04,0.3361111,1:33,0.0649443,J,
7:48,0.3250000,1:10,0.0487662,F,
11:13,0.4673611,1:18,0.0546430,F,
7:19,0.3048611,7:40,0.3196736,D,
8:12,0.3416667,1:14,0.0518855,E,
8:37,0.3590278,1:34,0.0656988,E,
9:03,0.3770833,1:16,0.0534616,E,
8:45,0.3645833,2:12,0.0920445,E,
9:41,0.4034722,1:05,0.0451463,G,
7:04,0.2944444,1:13,0.0513282,G,
6:56,0.2888889,1:11,0.0495946,G,
15:04,0.6277778,1:06,0.0459626,G,
7:36,0.3166667,1:02,0.0436466,G,
14:45,0.6145833,1:01,0.0427343,G,
11:50,0.4930556,1:02,0.0435470,G,
7:34,0.3152778,1:00,0.0417837,G,
8:00,0.3333333,1:01,0.0429523,G,
12:16,0.5111111,1:01,0.0426091,G,
15:12,0.6333333,1:31,0.0632560,G,
7:07,0.2965278,1:00,0.0419461,G,
10:17,0.4284722,1:14,0.0514294,G,
11:43,0.4881944,1:14,0.0515139,G,
11:49,0.4923611,1:20,0.0559411,G,
7:56,0.3305556,1:03,0.0444084,J,
10:25,0.4340278,1:16,0.0532005,I,
8:41,0.3618056,1:20,0.0559903,E,
8:30,0.3541667,1:11,0.0494860,E,
7:33,0.3145833,1:07,0.0466838,E,
9:02,0.3763889,2:22,0.0988945,E,
8:43,0.3631944,2:33,0.1063993,E,
10:12,0.4250000,1:15,0.0522122,G,
10:58,0.4569444,1:05,0.0456561,G,
7:50,0.3263889,1:10,0.0488606,G,
9:42,0.4041667,1:04,0.0448938,G,
11:17,0.4701389,1:00,0.0419710,G,
9:58,0.4152778,1:09,0.0485606,G,
13:32,0.5638889,1:04,0.0447162,G,
7:40,0.3194444,1:09,0.0481674,E,
8:25,0.3506944,1:12,0.0500991,E,
10:08,0.4222222,1:02,0.0435590,E,
11:21,0.4729167,1:30,0.0631533,E,
8:14,0.3430556,1:03,0.0441495,E,
15:39,0.6520833,1:04,0.0447513,E,
9:00,0.3750000,1:04,0.0446107,E,
7:55,0.3298611,1:34,0.0655470,E,
12:10,0.5069444,1:15,0.0523156,E,
11:46,0.4902778,1:00,0.0418616,E,
12:25,0.5173611,1:34,0.0654557,E,
11:14,0.4680556,2:59,0.1248945,E,
9:41,0.4034722,1:57,0.0817124,E,
9:07,0.3798611,1:42,0.0710343,E,
14:06,0.5875000,1:02,0.0432645,E,
16:24,0.6833333,1:32,0.0639872,D,
7:48,0.3250000,1:11,0.0494576,D,
18:08,0.7555556,1:26,0.0602875,D,
8:29,0.3534722,1:18,0.0541655,D,
3:33,0.1479167,1:10,0.0486635,D,
7:13,0.3006944,1:10,0.0491608,I,
13:19,0.5548611,1:08,0.0476997,I,
11:26,0.4763889,1:14,0.0519386,I,
18:26,0.7680556,1:11,0.0499398,D,
17:39,0.7354167,1:12,0.0502583,D,
17:53,0.7451389,1:07,0.0469632,D,
17:43,0.7381944,1:03,0.0444265,D,
18:00,0.7500000,1:05,0.0453549,D,
18:25,0.7673611,1:20,0.0557787,D,
18:04,0.7527778,1:34,0.0655881,D,
18:04,0.7527778,1:10,0.0491814,D,
10:19,0.4298611,1:03,0.0442689,A,
11:31,0.4798611,1:24,0.0585896,A,
7:02,0.2930556,1:22,0.0575122,A,
10:03,0.4187500,1:03,0.0438648,A,
12:38,0.5263889,1:00,0.0420913,A,
9:49,0.4090278,1:11,0.0498755,A,
12:50,0.5347222,1:20,0.0556035,A,
13:58,0.5819444,1:05,0.0455622,A,
11:40,0.4861111,1:28,0.0612027,A,
7:05,0.2951389,1:00,0.0420668,A,
9:07,0.3798611,1:20,0.0561157,D,
10:01,0.4173611,1:07,0.0468323,D,
11:49,0.4923611,1:00,0.0419244,D,
11:55,0.4965278,1:01,0.0426574,D,
14:57,0.6229167,1:17,0.0534971,G,
17:52,0.7444444,1:46,0.0742441,G,
15:17,0.6368056,1:04,0.0444690,D,
12:33,0.5229167,1:19,0.0549888,D,
8:15,0.3437500,2:04,0.0866185,D,
8:03,0.3354167,1:31,0.0636654,D,
18:26,0.7680556,1:06,0.0460194,D,
8:26,0.3513889,1:29,0.0619716,D,
7:48,0.3250000,1:19,0.0553478,D,
17:45,0.7395833,1:12,0.0502477,D,
7:32,0.3138889,1:06,0.0459500,D,
8:40,0.3611111,1:45,0.0729119,D,
7:37,0.3173611,1:59,0.0829196,D,
7:41,0.3201389,1:36,0.0673170,D,
13:06,0.5458333,1:02,0.0435731,J,
10:19,0.4298611,1:07,0.0469488,I,
